"","at","value","timestamp"
"1492","2013-06-25T02:20:42.651045Z",130767,2013-06-25 02:20:42
"1494","2013-06-25T02:24:42.659952Z",130767,2013-06-25 02:24:42
"1495","2013-06-25T02:26:42.666123Z",65351,2013-06-25 02:26:42
"1496","2013-06-25T02:28:42.677189Z",65351,2013-06-25 02:28:42
"1497","2013-06-25T02:30:42.684496Z",130767,2013-06-25 02:30:42
"1498","2013-06-25T02:32:42.690711Z",130767,2013-06-25 02:32:42
"1499","2013-06-25T02:34:42.696848Z",43545,2013-06-25 02:34:42
"1500","2013-06-25T02:36:42.706937Z",43545,2013-06-25 02:36:42
"1501","2013-06-25T02:38:42.715512Z",65351,2013-06-25 02:38:42
"1502","2013-06-25T02:40:42.723246Z",65351,2013-06-25 02:40:42
"1503","2013-06-25T02:42:42.729338Z",43545,2013-06-25 02:42:42
"1504","2013-06-25T02:46:42.753420Z",43545,2013-06-25 02:46:42
"1505","2013-06-25T02:48:42.754747Z",18625,2013-06-25 02:48:42
"1506","2013-06-25T02:50:42.761496Z",424,2013-06-25 02:50:42
"1507","2013-06-25T02:52:42.772310Z",32643,2013-06-25 02:52:42
"1508","2013-06-25T02:54:42.780723Z",65351,2013-06-25 02:54:42
"1509","2013-06-25T02:56:42.788204Z",130767,2013-06-25 02:56:42
"1512","2013-06-25T03:02:42.813279Z",130767,2013-06-25 03:02:42
"1514","2013-06-25T03:06:42.827579Z",130767,2013-06-25 03:06:42
"1521","2013-06-25T03:20:42.881269Z",130767,2013-06-25 03:20:42
"1524","2013-06-25T03:26:42.910245Z",65351,2013-06-25 03:26:42
"1525","2013-06-25T03:28:42.916500Z",130767,2013-06-25 03:28:42
"1526","2013-06-25T03:30:42.927226Z",130767,2013-06-25 03:30:42
"1527","2013-06-25T03:32:42.932131Z",65351,2013-06-25 03:32:42
"1528","2013-06-25T03:34:42.937689Z",65351,2013-06-25 03:34:42
"1530","2013-06-25T03:38:42.952627Z",130767,2013-06-25 03:38:42
"1531","2013-06-25T03:40:42.963280Z",777,2013-06-25 03:40:42
"1532","2013-06-25T03:42:42.969713Z",130767,2013-06-25 03:42:42
"1533","2013-06-25T03:44:42.977826Z",65351,2013-06-25 03:44:42
"1534","2013-06-25T03:46:42.989031Z",65351,2013-06-25 03:46:42
"1535","2013-06-25T03:48:42.993430Z",581,2013-06-25 03:48:42
"1536","2013-06-25T03:50:43.002980Z",130767,2013-06-25 03:50:43
"1537","2013-06-25T03:52:43.011349Z",130767,2013-06-25 03:52:43
"1538","2013-06-25T03:54:43.015479Z",65351,2013-06-25 03:54:43
"1539","2013-06-25T03:56:43.031347Z",65351,2013-06-25 03:56:43
"1540","2013-06-25T03:58:43.036592Z",65351,2013-06-25 03:58:43
"1541","2013-06-25T04:00:43.042983Z",130767,2013-06-25 04:00:43
"1542","2013-06-25T04:02:43.051246Z",581,2013-06-25 04:02:43
"1543","2013-06-25T04:04:43.056176Z",65351,2013-06-25 04:04:43
"1544","2013-06-25T04:06:43.067364Z",65351,2013-06-25 04:06:43
"1545","2013-06-25T04:08:43.075814Z",581,2013-06-25 04:08:43
"1546","2013-06-25T04:10:43.083333Z",65351,2013-06-25 04:10:43
"1547","2013-06-25T04:12:43.093450Z",43545,2013-06-25 04:12:43
"1548","2013-06-25T04:14:43.105384Z",43545,2013-06-25 04:14:43
"1549","2013-06-25T04:16:43.105440Z",65351,2013-06-25 04:16:43
"1550","2013-06-25T04:18:43.115721Z",65351,2013-06-25 04:18:43
"1551","2013-06-25T04:22:43.129246Z",65351,2013-06-25 04:22:43
"1552","2013-06-25T04:24:43.136338Z",581,2013-06-25 04:24:43
"1553","2013-06-25T04:26:43.145432Z",43545,2013-06-25 04:26:43
"1554","2013-06-25T04:28:43.155032Z",32643,2013-06-25 04:28:43
"1555","2013-06-25T04:30:43.159619Z",483,2013-06-25 04:30:43
"1556","2013-06-25T04:32:43.167512Z",21740,2013-06-25 04:32:43
"1557","2013-06-25T04:34:43.178544Z",26101,2013-06-25 04:34:43
"1558","2013-06-25T04:36:43.189999Z",26101,2013-06-25 04:36:43
"1559","2013-06-25T04:38:43.186184Z",353,2013-06-25 04:38:43
"1560","2013-06-25T04:40:43.204092Z",18625,2013-06-25 04:40:43
"1561","2013-06-25T04:42:43.212497Z",18625,2013-06-25 04:42:43
"1562","2013-06-25T04:44:43.217764Z",14472,2013-06-25 04:44:43
"1563","2013-06-25T04:46:43.227324Z",21740,2013-06-25 04:46:43
"1564","2013-06-25T04:48:43.235165Z",18625,2013-06-25 04:48:43
"1565","2013-06-25T04:50:43.245051Z",14472,2013-06-25 04:50:43
"1566","2013-06-25T04:52:43.251161Z",14472,2013-06-25 04:52:43
"1567","2013-06-25T04:54:43.262470Z",16289,2013-06-25 04:54:43
"1568","2013-06-25T04:56:43.938526Z",18625,2013-06-25 04:56:43
"1569","2013-06-25T04:58:44.280467Z",16289,2013-06-25 04:58:44
"1570","2013-06-25T05:00:43.959057Z",18625,2013-06-25 05:00:43
"1571","2013-06-25T05:02:43.290131Z",16289,2013-06-25 05:02:43
"1572","2013-06-25T05:04:43.299063Z",14472,2013-06-25 05:04:43
"1573","2013-06-25T05:06:43.310968Z",16289,2013-06-25 05:06:43
"1574","2013-06-25T05:08:43.321505Z",21740,2013-06-25 05:08:43
"1575","2013-06-25T05:10:43.324296Z",18625,2013-06-25 05:10:43
"1576","2013-06-25T05:12:43.332430Z",21740,2013-06-25 05:12:43
"1577","2013-06-25T05:14:43.343578Z",21740,2013-06-25 05:14:43
