"","at","value","timestamp"
"277","2013-06-23T09:13:13.979458Z",1367,2013-06-23 09:13:13
"278","2013-06-23T09:15:13.990590Z",65351,2013-06-23 09:15:13
"279","2013-06-23T09:17:13.991276Z",65351,2013-06-23 09:17:13
"280","2013-06-23T09:19:13.999251Z",65351,2013-06-23 09:19:13
"281","2013-06-23T09:21:14.010037Z",65351,2013-06-23 09:21:14
"282","2013-06-23T09:23:14.014467Z",65351,2013-06-23 09:23:14
"283","2013-06-23T09:25:14.028072Z",43545,2013-06-23 09:25:14
"284","2013-06-23T09:27:14.029936Z",65351,2013-06-23 09:27:14
"285","2013-06-23T09:29:14.036649Z",65351,2013-06-23 09:29:14
"286","2013-06-23T09:31:14.042971Z",43545,2013-06-23 09:31:14
"287","2013-06-23T09:33:14.055198Z",65351,2013-06-23 09:33:14
"288","2013-06-23T09:35:14.059269Z",130767,2013-06-23 09:35:14
"289","2013-06-23T09:37:14.065400Z",130767,2013-06-23 09:37:14
"290","2013-06-23T09:39:14.073164Z",130767,2013-06-23 09:39:14
"291","2013-06-23T09:41:14.081751Z",130767,2013-06-23 09:41:14
"292","2013-06-23T09:43:14.088749Z",65351,2013-06-23 09:43:14
"293","2013-06-23T09:45:14.102654Z",32643,2013-06-23 09:45:14
"294","2013-06-23T09:47:14.109763Z",777,2013-06-23 09:47:14
"295","2013-06-23T09:49:14.111674Z",65351,2013-06-23 09:49:14
"296","2013-06-23T09:51:14.123464Z",130767,2013-06-23 09:51:14
"297","2013-06-23T09:53:14.124048Z",65351,2013-06-23 09:53:14
"298","2013-06-23T09:55:14.134734Z",130767,2013-06-23 09:55:14
"299","2013-06-23T09:57:14.142795Z",130767,2013-06-23 09:57:14
"300","2013-06-23T09:59:14.145569Z",130767,2013-06-23 09:59:14
"301","2013-06-23T10:01:14.159576Z",43545,2013-06-23 10:01:14
"302","2013-06-23T10:03:14.165740Z",18625,2013-06-23 10:03:14
"303","2013-06-23T10:05:14.167387Z",13018,2013-06-23 10:05:14
"304","2013-06-23T10:07:14.174956Z",43545,2013-06-23 10:07:14
"305","2013-06-23T10:09:14.212734Z",16289,2013-06-23 10:09:14
"306","2013-06-23T10:11:14.188065Z",14472,2013-06-23 10:11:14
"307","2013-06-23T10:13:14.237811Z",43545,2013-06-23 10:13:14
"308","2013-06-23T10:15:14.204997Z",777,2013-06-23 10:15:14
"309","2013-06-23T10:17:14.212324Z",424,2013-06-23 10:17:14
"310","2013-06-23T10:19:14.218468Z",43545,2013-06-23 10:19:14
"311","2013-06-23T10:21:14.226498Z",65351,2013-06-23 10:21:14
"312","2013-06-23T10:23:14.240611Z",26101,2013-06-23 10:23:14
"313","2013-06-23T10:25:14.243269Z",65351,2013-06-23 10:25:14
"314","2013-06-23T10:27:14.247735Z",43545,2013-06-23 10:27:14
"315","2013-06-23T10:29:14.256612Z",65351,2013-06-23 10:29:14
