"","at","value","timestamp"
"87","2013-06-17T02:52:12.879008Z",1025,2013-06-17 02:52:12
"88","2013-06-17T02:54:12.891454Z",957,2013-06-17 02:54:12
"89","2013-06-17T02:56:12.898621Z",1072,2013-06-17 02:56:12
"90","2013-06-17T02:58:12.914495Z",1421,2013-06-17 02:58:12
"91"," 2013-06-17T03:00:12.892892Z",25,2013-06-17 03:00:12
"92","2013-06-17T03:02:12.927500Z",926,2013-06-17 03:02:12
"93","2013-06-17T03:04:12.938426Z",926,2013-06-17 03:04:12
"94","2013-06-17T03:06:12.948362Z",790,2013-06-17 03:06:12
"95","2013-06-17T03:08:12.957834Z",723,2013-06-17 03:08:12
"96","2013-06-17T03:10:12.968464Z",763,2013-06-17 03:10:12
"97","2013-06-17T03:12:12.978426Z",869,2013-06-17 03:12:12
"98","2013-06-17T03:14:12.981961Z",856,2013-06-17 03:14:12
"99","2013-06-17T03:16:12.992577Z",911,2013-06-17 03:16:12
"100","2013-06-17T03:18:13.001539Z",819,2013-06-17 03:18:13
"101","2013-06-17T03:20:13.012414Z",723,2013-06-17 03:20:13
"102","2013-06-17T03:22:13.021323Z",773,2013-06-17 03:22:13
"103","2013-06-17T03:24:13.032642Z",883,2013-06-17 03:24:13
"104","2013-06-17T03:26:13.040786Z",981,2013-06-17 03:26:13
"105","2013-06-17T03:28:13.051467Z",1124,2013-06-17 03:28:13
"106","2013-06-17T03:30:13.060742Z",1979,2013-06-17 03:30:13
"107","2013-06-17T03:32:13.070681Z",1016,2013-06-17 03:32:13
"108","2013-06-17T03:34:13.082428Z",779,2013-06-17 03:34:13
"109","2013-06-17T03:36:13.090541Z",1612,2013-06-17 03:36:13
"110","2013-06-17T03:38:13.100061Z",1298,2013-06-17 03:38:13
"111","2013-06-17T03:40:13.105753Z",1072,2013-06-17 03:40:13
"112","2013-06-17T03:42:13.120866Z",1025,2013-06-17 03:42:13
"113","2013-06-17T03:44:13.304866Z",897,2013-06-17 03:44:13
"114","2013-06-17T03:46:13.134865Z",941,2013-06-17 03:46:13
"115","2013-06-17T03:48:13.144936Z",1456,2013-06-17 03:48:13
"116","2013-06-17T03:50:13.160094Z",1372,2013-06-17 03:50:13
"117","2013-06-17T03:52:13.164961Z",1063,2013-06-17 03:52:13
"118","2013-06-17T03:54:13.174201Z",990,2013-06-17 03:54:13
"119","2013-06-17T03:56:13.184291Z",1034,2013-06-17 03:56:13
"120","2013-06-17T03:58:13.194903Z",2271,2013-06-17 03:58:13
"121","2013-06-17T04:00:13.204499Z",1859,2013-06-17 04:00:13
"122","2013-06-17T04:02:13.215198Z",1550,2013-06-17 04:02:13
"123","2013-06-17T04:04:13.223832Z",1727,2013-06-17 04:04:13
"124","2013-06-17T04:06:13.233350Z",2605,2013-06-17 04:06:13
"125","2013-06-17T04:08:13.243714Z",1831,2013-06-17 04:08:13
"126","2013-06-17T04:10:13.252881Z",1550,2013-06-17 04:10:13
"127","2013-06-17T04:12:13.263190Z",1298,2013-06-17 04:12:13
"128","2013-06-17T04:14:13.276267Z",1312,2013-06-17 04:14:13
"129","2013-06-17T04:16:13.287121Z",1298,2013-06-17 04:16:13
"130","2013-06-17T04:18:13.294056Z",1053,2013-06-17 04:18:13
"131","2013-06-17T04:20:13.306258Z",1093,2013-06-17 04:20:13
"132","2013-06-17T04:22:13.312611Z",2358,2013-06-17 04:22:13
"133","2013-06-17T04:24:13.321743Z",1063,2013-06-17 04:24:13
"134","2013-06-17T04:26:13.326509Z",981,2013-06-17 04:26:13
"135","2013-06-17T04:28:13.341686Z",1230,2013-06-17 04:28:13
"136","2013-06-17T04:30:13.347880Z",1312,2013-06-17 04:30:13
"137","2013-06-17T04:32:13.356416Z",801,2013-06-17 04:32:13
"138","2013-06-17T04:34:13.367028Z",933,2013-06-17 04:34:13
"139","2013-06-17T04:36:13.376998Z",897,2013-06-17 04:36:13
"140","2013-06-17T04:38:13.386913Z",790,2013-06-17 04:38:13
"141","2013-06-17T04:40:13.398687Z",737,2013-06-17 04:40:13
"142","2013-06-17T04:42:13.406139Z",695,2013-06-17 04:42:13
"143","2013-06-17T04:44:13.416059Z",801,2013-06-17 04:44:13
"144","2013-06-17T04:46:13.426226Z",747,2013-06-17 04:46:13
"145","2013-06-17T04:48:13.435226Z",704,2013-06-17 04:48:13
"146","2013-06-17T04:50:13.445409Z",742,2013-06-17 04:50:13
"147","2013-06-17T04:52:13.455325Z",801,2013-06-17 04:52:13
"148","2013-06-17T04:54:13.465084Z",704,2013-06-17 04:54:13
"149","2013-06-17T04:56:13.475970Z",634,2013-06-17 04:56:13
"150","2013-06-17T04:58:13.665134Z",638,2013-06-17 04:58:13
"151","2013-06-17T05:00:13.496783Z",742,2013-06-17 05:00:13
"152","2013-06-17T05:02:13.504470Z",662,2013-06-17 05:02:13
"153","2013-06-17T05:04:13.514403Z",595,2013-06-17 05:04:13
"154","2013-06-17T05:06:13.529004Z",678,2013-06-17 05:06:13
"155","2013-06-17T05:08:13.509792Z",13,2013-06-17 05:08:13
"156","2013-06-17T05:10:13.728405Z",990,2013-06-17 05:10:13
"157","2013-06-17T05:12:13.554623Z",2230,2013-06-17 05:12:13
"158","2013-06-17T05:14:13.563757Z",2551,2013-06-17 05:14:13
"159","2013-06-17T05:16:13.570233Z",1193,2013-06-17 05:16:13
"160","2013-06-17T05:18:13.583209Z",904,2013-06-17 05:18:13
"161","2013-06-17T05:20:13.593428Z",1205,2013-06-17 05:20:13
"162","2013-06-17T05:22:13.603576Z",1752,2013-06-17 05:22:13
"163","2013-06-17T05:24:13.612509Z",1205,2013-06-17 05:24:13
"164","2013-06-17T05:26:13.622564Z",1979,2013-06-17 05:26:13
"165","2013-06-17T05:28:13.627210Z",1831,2013-06-17 05:28:13
"166","2013-06-17T05:30:13.641274Z",1550,2013-06-17 05:30:13
"167","2013-06-17T05:32:13.646824Z",1831,2013-06-17 05:32:13
"168","2013-06-17T05:34:13.659169Z",973,2013-06-17 05:34:13
"169","2013-06-17T05:36:13.672556Z",1979,2013-06-17 05:36:13
"170","2013-06-17T05:38:13.677734Z",2313,2013-06-17 05:38:13
"171","2013-06-17T05:40:13.686975Z",1679,2013-06-17 05:40:13
"172","2013-06-17T05:42:13.696570Z",1284,2013-06-17 05:42:13
"173","2013-06-17T05:44:13.706929Z",904,2013-06-17 05:44:13
"174","2013-06-17T05:46:13.716480Z",2605,2013-06-17 05:46:13
"175","2013-06-17T05:48:13.726650Z",1804,2013-06-17 05:48:13
"176","2013-06-17T05:50:13.735523Z",795,2013-06-17 05:50:13
"177","2013-06-17T05:52:13.747562Z",869,2013-06-17 05:52:13
"178","2013-06-17T05:54:13.750693Z",713,2013-06-17 05:54:13
"179","2013-06-17T05:56:13.760043Z",843,2013-06-17 05:56:13
"180","2013-06-17T05:58:13.770340Z",973,2013-06-17 05:58:13
"181"," 2013-06-17T06:00:13.781088Z",758,2013-06-17 06:00:13
"182","2013-06-17T06:02:13.790142Z",933,2013-06-17 06:02:13
"183","2013-06-17T06:04:13.799428Z",850,2013-06-17 06:04:13
"184","2013-06-17T06:06:13.809563Z",704,2013-06-17 06:06:13
"185","2013-06-17T06:08:13.820869Z",737,2013-06-17 06:08:13
"186","2013-06-17T06:10:13.832713Z",990,2013-06-17 06:10:13
"187","2013-06-17T06:12:14.980062Z",876,2013-06-17 06:12:14
"188","2013-06-17T06:14:13.849201Z",747,2013-06-17 06:14:13
"189","2013-06-17T06:16:13.853701Z",704,2013-06-17 06:16:13
"190","2013-06-17T06:18:13.873551Z",627,2013-06-17 06:18:13
"191","2013-06-17T06:20:13.854039Z",15,2013-06-17 06:20:13
"192","2013-06-17T06:22:13.883804Z",723,2013-06-17 06:22:13
"193","2013-06-17T06:24:13.893106Z",670,2013-06-17 06:24:13
